"Vessel"	"StratumID"	"GPSIndex"	"GpsT.UTC"	"GpsT.PST"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.BE"	"Stbd.BE"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"	"Temp.C."
"MB"	"NA"	696	2021-02-08 21:01:14	2021-02-08 13:01:14	49.35557	-123.3347	10.22	93.14	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	"NA"	"NA"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	697	2021-02-08 21:01:24	2021-02-08 13:01:24	49.35558	-123.333973333333	10.34	85.69	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	698	2021-02-08 21:01:34	2021-02-08 13:01:34	49.3556133333333	-123.333236666667	10.38	91.35	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	699	2021-02-08 21:01:44	2021-02-08 13:01:44	49.3555883333333	-123.332505	10.32	91.35	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	700	2021-02-08 21:01:54	2021-02-08 13:01:54	49.355565	-123.331775	10.34	94.51	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	701	2021-02-08 21:02:04	2021-02-08 13:02:04	49.3555283333333	-123.331058333333	10.13	95.24	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	702	2021-02-08 21:02:13	2021-02-08 13:02:13	49.35549	-123.330405	10.53	93.82	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	703	2021-02-08 21:02:14	2021-02-08 13:02:14	49.3554833333333	-123.330331666667	10.52	96.34	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	704	2021-02-08 21:02:24	2021-02-08 13:02:24	49.3554383333333	-123.329613333333	10.41	93.61	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
"MB"	"NA"	705	2021-02-08 21:02:34	2021-02-08 13:02:34	49.3554183333333	-123.328893333333	10.24	91.49	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"7x50 Fujinons"	"EKeppel"	NA	NA	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"	NA
