"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"RB"	13	2020-11-23 17:54:41	2020-11-23 09:54:41	49.0446316666667	-123.4841	6.91	80.2	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	14	2020-11-23 17:54:51	2020-11-23 09:54:51	49.0447033333333	-123.483601666667	7.14	76.46	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	15	2020-11-23 17:54:57	2020-11-23 09:54:57	49.0447533333333	-123.483295	7.56	78.95	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	16	2020-11-23 17:55:07	2020-11-23 09:55:07	49.04481	-123.482781666667	7.61	83.99	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	17	2020-11-23 17:55:17	2020-11-23 09:55:17	49.04483	-123.482248333333	7.59	88.74	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	18	2020-11-23 17:55:21	2020-11-23 09:55:21	49.04483	-123.482036666667	7.41	90.16	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	19	2020-11-23 17:55:31	2020-11-23 09:55:31	49.0448133333333	-123.481516666667	7.36	91.55	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	20	2020-11-23 17:55:41	2020-11-23 09:55:41	49.04479	-123.480995	7.66	94.12	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	21	2020-11-23 17:55:51	2020-11-23 09:55:51	49.0447566666667	-123.480478333333	7.3	94.01	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	22	2020-11-23 17:56:01	2020-11-23 09:56:01	49.04472	-123.47995	7.38	96.67	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	23	2020-11-23 17:56:11	2020-11-23 09:56:11	49.0446866666667	-123.479425	7.67	95.64	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"RB"	24	2020-11-23 17:56:21	2020-11-23 09:56:21	49.0446533333333	-123.478898333333	7.47	98.13	"ON"	"1"	3	"RBFly_sit"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
