"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	1025	2020-10-14 19:04:41	2020-10-14 12:04:41	48.7264333333333	-123.299563333333	10.2	136.94	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"Severe"	18	35	"75% to 99%"	"Clear"
"MB"	1026	2020-10-14 19:04:51	2020-10-14 12:04:51	48.7260916666667	-123.29906	10.3	134.16	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1027	2020-10-14 19:05:01	2020-10-14 12:05:01	48.7257816666667	-123.29853	10.28	131.87	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1028	2020-10-14 19:05:11	2020-10-14 12:05:11	48.72545	-123.298016666667	10.23	136.13	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1029	2020-10-14 19:05:21	2020-10-14 12:05:21	48.72511	-123.29753	10.26	137.24	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1030	2020-10-14 19:05:31	2020-10-14 12:05:31	48.72478	-123.297038333333	10.01	136.9	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1031	2020-10-14 19:05:41	2020-10-14 12:05:41	48.7244416666667	-123.296556666667	10.14	137.13	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1032	2020-10-14 19:05:51	2020-10-14 12:05:51	48.7240916666667	-123.29607	10.18	137.21	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1033	2020-10-14 19:06:01	2020-10-14 12:06:01	48.7237583333333	-123.295576666667	10.35	136.8	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1034	2020-10-14 19:06:11	2020-10-14 12:06:11	48.7234183333333	-123.295075	10.18	135.26	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	1035	2020-10-14 19:06:21	2020-10-14 12:06:21	48.7230766666667	-123.29456	10.31	134.29	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
