"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	702	2020-08-28 18:06:45	2020-08-28 11:06:45	49.3351566666667	-123.22429	7.91	118.56	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"Mild"	-10	56	"<25%"	"Clear"
"MB"	703	2020-08-28 18:06:49	2020-08-28 11:06:49	49.335095	-123.224106666667	7.34	117.38	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	704	2020-08-28 18:06:59	2020-08-28 11:06:59	49.3349466666667	-123.223645	6.8	115.55	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	705	2020-08-28 18:07:04	2020-08-28 11:07:04	49.3348583333333	-123.223408333333	7.24	117.85	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	706	2020-08-28 18:07:14	2020-08-28 11:07:14	49.3346933333333	-123.222925	7.6	117.7	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	707	2020-08-28 18:07:15	2020-08-28 11:07:15	49.3346783333333	-123.222881666667	7.62	118.18	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	708	2020-08-28 18:07:25	2020-08-28 11:07:25	49.3345016666667	-123.222395	8	120.99	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	709	2020-08-28 18:07:35	2020-08-28 11:07:35	49.334305	-123.221918333333	8.67	119.93	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	710	2020-08-28 18:07:45	2020-08-28 11:07:45	49.33411	-123.221318333333	10.06	120.93	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	711	2020-08-28 18:07:55	2020-08-28 11:07:55	49.333845	-123.220741666667	8.67	125.13	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	712	2020-08-28 18:08:05	2020-08-28 11:08:05	49.3335733333333	-123.220221666667	8.95	128.44	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	713	2020-08-28 18:08:15	2020-08-28 11:08:15	49.33328	-123.21971	9.51	131.6	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	714	2020-08-28 18:08:26	2020-08-28 11:08:26	49.3329666666667	-123.219196666667	10.44	135.57	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	715	2020-08-28 18:08:36	2020-08-28 11:08:36	49.3326566666667	-123.21875	10.19	136.03	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	716	2020-08-28 18:08:45	2020-08-28 11:08:45	49.3323483333333	-123.218235	9.62	127.94	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	717	2020-08-28 18:08:56	2020-08-28 11:08:56	49.3320916666667	-123.2177	8.18	122.35	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	718	2020-08-28 18:09:06	2020-08-28 11:09:06	49.331865	-123.217163333333	9.57	124.92	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	719	2020-08-28 18:09:16	2020-08-28 11:09:16	49.33163	-123.21659	9.16	123.59	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	720	2020-08-28 18:09:26	2020-08-28 11:09:26	49.331355	-123.216061666667	10.13	127.33	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	721	2020-08-28 18:09:36	2020-08-28 11:09:36	49.33112	-123.215553333333	8.6	126.76	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	722	2020-08-28 18:09:46	2020-08-28 11:09:46	49.33086	-123.214946666667	9.98	124.8	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	723	2020-08-28 18:09:49	2020-08-28 11:09:49	49.3307433333333	-123.214738333333	9.89	128.85	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
"MB"	724	2020-08-28 18:09:59	2020-08-28 11:09:59	49.3304633333333	-123.214185	9.98	123.24	"ON"	"1"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	1	"G&E"	"No swell"	"None"	NA	NA	"<25%"	"Clear"
