"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	299	2021-04-23 21:58:56	2021-04-23 14:58:56	48.8548883333333	-123.215033333333	10.76	86.6	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	300	2021-04-23 21:59:06	2021-04-23 14:59:06	48.8549966666667	-123.214296666667	10.87	72.79	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	301	2021-04-23 21:59:16	2021-04-23 14:59:16	48.85512	-123.21357	10.2	77.58	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	302	2021-04-23 21:59:26	2021-04-23 14:59:26	48.85516	-123.212873333333	10.39	90.45	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	303	2021-04-23 21:59:36	2021-04-23 14:59:36	48.8551666666667	-123.212145	10.4	89.67	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	304	2021-04-23 21:59:46	2021-04-23 14:59:46	48.8551816666667	-123.211395	10.65	87.55	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	305	2021-04-23 21:59:56	2021-04-23 14:59:56	48.855235	-123.210656666667	10.61	83.22	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	306	2021-04-23 22:00:06	2021-04-23 15:00:06	48.8552766666667	-123.209916666667	10.55	85.07	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	307	2021-04-23 22:00:16	2021-04-23 15:00:16	48.855315	-123.209185	10.34	89.55	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	308	2021-04-23 22:00:26	2021-04-23 15:00:26	48.855265	-123.208455	10.7	96.46	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	309	2021-04-23 22:00:36	2021-04-23 15:00:36	48.85523	-123.20774	10.56	95.84	"ON"	"8"	2	"Bo"	"LSpaven"	"CMcMillan"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
