"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	76	2021-01-19 19:55:00	2021-01-19 11:55:00	48.9620433333333	-123.367076666667	10.69	91.68	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"Severe"	70	90	"75% to 99%"	"Clear"
"MB"	77	2021-01-19 19:55:10	2021-01-19 11:55:10	48.9620533333333	-123.36631	10.62	87.58	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	78	2021-01-19 19:55:20	2021-01-19 11:55:20	48.9620666666667	-123.365561666667	10.48	90.61	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	79	2021-01-19 19:55:22	2021-01-19 11:55:22	48.9620633333333	-123.365335	11.49	92.2	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	80	2021-01-19 19:55:32	2021-01-19 11:55:32	48.962025	-123.364591666667	10.61	96.38	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	81	2021-01-19 19:55:42	2021-01-19 11:55:42	48.96196	-123.363845	11.2	100.66	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	82	2021-01-19 19:55:52	2021-01-19 11:55:52	48.961885	-123.363116666667	10.57	93.41	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	83	2021-01-19 19:56:02	2021-01-19 11:56:02	48.96184	-123.362381666667	10.72	96	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	84	2021-01-19 19:56:12	2021-01-19 11:56:12	48.9618066666667	-123.361631666667	10.61	93.15	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	85	2021-01-19 19:56:22	2021-01-19 11:56:22	48.9617866666667	-123.360875	10.89	92.05	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	86	2021-01-19 19:56:32	2021-01-19 11:56:32	48.9617583333333	-123.36013	10.83	94.63	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	87	2021-01-19 19:56:42	2021-01-19 11:56:42	48.961715	-123.359385	10.83	94.49	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	88	2021-01-19 19:56:52	2021-01-19 11:56:52	48.9616783333333	-123.35863	11.01	92.35	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	89	2021-01-19 19:57:02	2021-01-19 11:57:02	48.9616666666667	-123.357858333333	10.89	89.78	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	90	2021-01-19 19:57:12	2021-01-19 11:57:12	48.96166	-123.357106666667	10.8	89.29	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	91	2021-01-19 19:57:22	2021-01-19 11:57:22	48.9616733333333	-123.356343333333	10.91	89.04	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	92	2021-01-19 19:57:32	2021-01-19 11:57:32	48.9616816666667	-123.355583333333	10.86	89.31	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	93	2021-01-19 19:57:42	2021-01-19 11:57:42	48.9616883333333	-123.354818333333	11.2	88.88	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	94	2021-01-19 19:57:45	2021-01-19 11:57:45	48.9616883333333	-123.354666666667	10.8	89.62	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	95	2021-01-19 19:57:52	2021-01-19 11:57:52	48.961685	-123.354056666667	10.78	90.93	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	96	2021-01-19 19:58:02	2021-01-19 11:58:02	48.9616733333333	-123.353305	10.65	90.95	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	97	2021-01-19 19:58:12	2021-01-19 11:58:12	48.961675	-123.352566666667	10.18	89.37	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	98	2021-01-19 19:58:15	2021-01-19 11:58:15	48.961675	-123.352351666667	10.21	90.33	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	99	2021-01-19 19:58:22	2021-01-19 11:58:22	48.96165	-123.351845	10.59	94.23	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	100	2021-01-19 19:58:32	2021-01-19 11:58:32	48.9616216666667	-123.351096666667	10.65	92.99	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	101	2021-01-19 19:58:42	2021-01-19 11:58:42	48.9616066666667	-123.350355	10.37	88.74	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	102	2021-01-19 19:58:52	2021-01-19 11:58:52	48.9615983333333	-123.349625	10.57	94.26	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	103	2021-01-19 19:59:02	2021-01-19 11:59:02	48.9615533333333	-123.348876666667	10.57	95.7	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	104	2021-01-19 19:59:12	2021-01-19 11:59:12	48.9615366666667	-123.34813	10.56	87.44	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	105	2021-01-19 19:59:22	2021-01-19 11:59:22	48.96157	-123.347385	11.01	86.2	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	106	2021-01-19 19:59:32	2021-01-19 11:59:32	48.9615633333333	-123.346641666667	10.71	92.68	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	107	2021-01-19 19:59:42	2021-01-19 11:59:42	48.96154	-123.3459	10.42	92.58	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	108	2021-01-19 19:59:52	2021-01-19 11:59:52	48.9615133333333	-123.345165	10.51	94.39	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	109	2021-01-19 20:00:02	2021-01-19 12:00:02	48.961445	-123.344436666667	10.85	98.6	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	110	2021-01-19 20:00:12	2021-01-19 12:00:12	48.961395	-123.343678333333	10.69	94.11	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	111	2021-01-19 20:00:22	2021-01-19 12:00:22	48.9613566666667	-123.342925	10.7	92.87	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	112	2021-01-19 20:00:32	2021-01-19 12:00:32	48.9613316666667	-123.342178333333	10.31	91.24	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	113	2021-01-19 20:00:42	2021-01-19 12:00:42	48.9613166666667	-123.34144	10.46	90.24	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	114	2021-01-19 20:00:52	2021-01-19 12:00:52	48.9613133333333	-123.340698333333	10.75	90.57	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	115	2021-01-19 20:01:02	2021-01-19 12:01:02	48.9613183333333	-123.33996	10.4	88.56	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	116	2021-01-19 20:01:12	2021-01-19 12:01:12	48.961325	-123.339226666667	10.26	88.42	"ON"	"7"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	3	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
