"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"	"iteration"
"MB"	733	2021-07-09 18:45:23	2021-07-09 11:45:23	49.2867816666667	-123.167783333333	10.01	269.56	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	734	2021-07-09 18:45:33	2021-07-09 11:45:33	49.2867916666667	-123.168493333333	10.04	271.92	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	735	2021-07-09 18:45:43	2021-07-09 11:45:43	49.2868383333333	-123.169185	9.81	275.17	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	736	2021-07-09 18:45:53	2021-07-09 11:45:53	49.2868866666667	-123.169881666667	9.84	275.35	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	737	2021-07-09 18:46:03	2021-07-09 11:46:03	49.286915	-123.17059	10.05	271.36	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	738	2021-07-09 18:46:13	2021-07-09 11:46:13	49.28692	-123.1713	9.91	270.78	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	739	2021-07-09 18:46:23	2021-07-09 11:46:23	49.2869466666667	-123.172003333333	9.71	275.92	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	740	2021-07-09 18:46:33	2021-07-09 11:46:33	49.28699	-123.172708333333	9.86	277.36	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	741	2021-07-09 18:46:43	2021-07-09 11:46:43	49.2870483333333	-123.173405	9.86	278.67	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	742	2021-07-09 18:46:53	2021-07-09 11:46:53	49.2870966666667	-123.174095	9.71	273.33	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	743	2021-07-09 18:47:03	2021-07-09 11:47:03	49.28711	-123.174781666667	9.91	269.9	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	744	2021-07-09 18:47:13	2021-07-09 11:47:13	49.2871133333333	-123.175458333333	9.59	272.4	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
"MB"	745	2021-07-09 18:47:23	2021-07-09 11:47:23	49.2871416666667	-123.176135	9.54	274.04	"ON"	"1"	2	"Bo"	"EKeppel"	"CMcMillan"	"Bi"	"LSpaven"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"0%-25%"	"Clear"	12
