"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	837	2021-06-04 19:38:41	2021-06-04 12:38:41	49.1331233333333	-123.304818333333	9.85	266.93	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	838	2021-06-04 19:38:51	2021-06-04 12:38:51	49.133115	-123.305516666667	9.92	270.89	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	839	2021-06-04 19:39:01	2021-06-04 12:39:01	49.1331266666667	-123.306213333333	9.8	272.93	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	840	2021-06-04 19:39:11	2021-06-04 12:39:11	49.1331716666667	-123.306906666667	10.2	275.98	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	841	2021-06-04 19:39:21	2021-06-04 12:39:21	49.1332233333333	-123.307595	9.82	271.77	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	842	2021-06-04 19:39:31	2021-06-04 12:39:31	49.13319	-123.308291666667	9.88	264.16	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	843	2021-06-04 19:39:41	2021-06-04 12:39:41	49.1331233333333	-123.30898	9.83	263	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	844	2021-06-04 19:39:51	2021-06-04 12:39:51	49.133065	-123.309666666667	9.77	262.82	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	845	2021-06-04 19:40:01	2021-06-04 12:40:01	49.1330233333333	-123.310355	9.8	264.58	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	846	2021-06-04 19:40:11	2021-06-04 12:40:11	49.132995	-123.311055	9.84	265.42	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	847	2021-06-04 19:40:21	2021-06-04 12:40:21	49.1329966666667	-123.31176	9.74	268.31	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	848	2021-06-04 19:40:27	2021-06-04 12:40:27	49.1330033333333	-123.312108333333	9.79	271.35	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	849	2021-06-04 19:40:37	2021-06-04 12:40:37	49.1330133333333	-123.312798333333	9.69	269.31	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	850	2021-06-04 19:40:42	2021-06-04 12:40:42	49.1330083333333	-123.31314	9.78	269.67	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	851	2021-06-04 19:40:52	2021-06-04 12:40:52	49.13299	-123.313831666667	9.87	268.73	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	852	2021-06-04 19:41:02	2021-06-04 12:41:02	49.1329733333333	-123.314533333333	9.9	268.13	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	853	2021-06-04 19:41:12	2021-06-04 12:41:12	49.1329616666667	-123.315243333333	9.98	266.65	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	854	2021-06-04 19:41:22	2021-06-04 12:41:22	49.1329316666667	-123.315951666667	10.07	265.33	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	855	2021-06-04 19:41:27	2021-06-04 12:41:27	49.1329116666667	-123.316301666667	10.07	265.6	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	856	2021-06-04 19:41:37	2021-06-04 12:41:37	49.1328633333333	-123.316998333333	9.71	262.63	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	857	2021-06-04 19:41:42	2021-06-04 12:41:42	49.132835	-123.317331666667	9.7	263.2	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	858	2021-06-04 19:41:52	2021-06-04 12:41:52	49.132795	-123.318001666667	10.03	264.76	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	859	2021-06-04 19:42:02	2021-06-04 12:42:02	49.1327916666667	-123.318728333333	10	267.91	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	860	2021-06-04 19:42:12	2021-06-04 12:42:12	49.1327966666667	-123.319435	9.75	269.8	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	861	2021-06-04 19:42:22	2021-06-04 12:42:22	49.1328133333333	-123.320125	9.9	272.11	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	862	2021-06-04 19:42:32	2021-06-04 12:42:32	49.1328316666667	-123.320816666667	9.78	272.24	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	863	2021-06-04 19:42:42	2021-06-04 12:42:42	49.132855	-123.321508333333	9.87	272.26	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	864	2021-06-04 19:42:52	2021-06-04 12:42:52	49.1328816666667	-123.322201666667	9.75	274.27	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	865	2021-06-04 19:43:02	2021-06-04 12:43:02	49.1329183333333	-123.3229	9.79	272.78	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	866	2021-06-04 19:43:13	2021-06-04 12:43:13	49.1329316666667	-123.323603333333	9.97	269.98	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	867	2021-06-04 19:43:23	2021-06-04 12:43:23	49.1329116666667	-123.324375	9.97	265.96	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	868	2021-06-04 19:43:33	2021-06-04 12:43:33	49.1328633333333	-123.32507	9.88	265.32	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	869	2021-06-04 19:43:43	2021-06-04 12:43:43	49.1328483333333	-123.32576	9.88	269.32	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	870	2021-06-04 19:43:53	2021-06-04 12:43:53	49.1328616666667	-123.326453333333	9.87	273.59	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	871	2021-06-04 19:44:03	2021-06-04 12:44:03	49.132895	-123.327163333333	9.89	273.44	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	872	2021-06-04 19:44:13	2021-06-04 12:44:13	49.13293	-123.32786	9.75	274.09	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	873	2021-06-04 19:44:23	2021-06-04 12:44:23	49.1329533333333	-123.328553333333	9.73	271.84	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	874	2021-06-04 19:44:33	2021-06-04 12:44:33	49.13297	-123.329245	9.82	270.91	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	875	2021-06-04 19:44:42	2021-06-04 12:44:42	49.1329733333333	-123.32987	9.88	270.03	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	876	2021-06-04 19:44:43	2021-06-04 12:44:43	49.1329733333333	-123.32994	9.72	269.27	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	877	2021-06-04 19:44:53	2021-06-04 12:44:53	49.13297	-123.330645	9.8	269.35	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	878	2021-06-04 19:45:03	2021-06-04 12:45:03	49.13296	-123.331345	10.04	267.98	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	879	2021-06-04 19:45:13	2021-06-04 12:45:13	49.1329466666667	-123.332045	9.88	268.25	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	880	2021-06-04 19:45:23	2021-06-04 12:45:23	49.1329133333333	-123.33274	9.78	264.53	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Clear"
"MB"	881	2021-06-04 19:45:33	2021-06-04 12:45:33	49.132845	-123.333423333333	9.97	261.21	"ON"	"4"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"100%"	"Light Rain"
