"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	897	2021-03-02 18:50:22	2021-03-02 10:50:22	49.3310316666667	-123.251926666667	10.06	132.02	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"Mild"	25	45	"75% to 99%"	"Clear"
"MB"	898	2021-03-02 18:50:32	2021-03-02 10:50:32	49.3307083333333	-123.251391666667	10.5	134.71	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	899	2021-03-02 18:50:42	2021-03-02 10:50:42	49.3303966666667	-123.250825	10.68	126.63	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	900	2021-03-02 18:50:52	2021-03-02 10:50:52	49.3300966666667	-123.250235	10.4	126.55	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	901	2021-03-02 18:50:57	2021-03-02 10:50:57	49.3299416666667	-123.24988	10.02	123.58	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	902	2021-03-02 18:51:07	2021-03-02 10:51:07	49.3297233333333	-123.249278333333	9.77	118.07	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	903	2021-03-02 18:51:17	2021-03-02 10:51:17	49.329505	-123.248656666667	10.23	120.05	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	904	2021-03-02 18:51:22	2021-03-02 10:51:22	49.32941	-123.248411666667	10.4	120.2	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	905	2021-03-02 18:51:32	2021-03-02 10:51:32	49.3291566666667	-123.247795	10.23	122.34	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	906	2021-03-02 18:51:42	2021-03-02 10:51:42	49.328865	-123.24722	10.26	127.74	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	907	2021-03-02 18:51:52	2021-03-02 10:51:52	49.3285883333333	-123.246643333333	10.28	126.28	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	908	2021-03-02 18:52:02	2021-03-02 10:52:02	49.32832	-123.246053333333	10.41	125.95	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	909	2021-03-02 18:52:12	2021-03-02 10:52:12	49.3280366666667	-123.245455	10.22	124.86	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	910	2021-03-02 18:52:22	2021-03-02 10:52:22	49.3277633333333	-123.24485	10.25	126.67	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	911	2021-03-02 18:52:32	2021-03-02 10:52:32	49.327465	-123.244271666667	10.47	128.05	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
"MB"	912	2021-03-02 18:52:42	2021-03-02 10:52:42	49.3271716666667	-123.243701666667	10.62	129.14	"ON"	"1"	2	"Bo"	"EKeppel"	"LSpaven"	"Bi"	"CMcMillan"	"G&E"	2	"G&E"	"No swell"	"None"	NA	NA	"75% to 99%"	"Clear"
