"Vessel"	"GPSIndex"	"GpsT.UTC"	"GpsT"	"Latitude"	"Longitude"	"Speed"	"Heading"	"Status"	"Final.T.ID"	"ONSEQ_ID"	"Platform"	"Port.Obs"	"Stbd.Obs"	"E_Instr"	"Data"	"Port.Vis"	"Bf"	"Stbd.Vis"	"Swell"	"Glare"	"L.G.Limit"	"R.G.Limit"	"CloudCover"	"Precip"
"MB"	1217	2021-05-14 20:10:03	2021-05-14 13:10:03	48.9039516666667	-123.27342	10.26	92.6	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1218	2021-05-14 20:10:13	2021-05-14 13:10:13	48.9039566666667	-123.272665	10.55	85.76	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1219	2021-05-14 20:10:23	2021-05-14 13:10:23	48.9039883333333	-123.271933333333	10.59	85.93	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1220	2021-05-14 20:10:33	2021-05-14 13:10:33	48.903985	-123.271261666667	11.54	87.41	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1221	2021-05-14 20:10:43	2021-05-14 13:10:43	48.90398	-123.270495	10.52	95.93	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1222	2021-05-14 20:10:53	2021-05-14 13:10:53	48.9039666666667	-123.269755	10.76	90.26	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1223	2021-05-14 20:11:03	2021-05-14 13:11:03	48.9039783333333	-123.269006666667	11.07	83.25	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1224	2021-05-14 20:11:13	2021-05-14 13:11:13	48.9040433333333	-123.268286666667	10.39	84.03	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1225	2021-05-14 20:11:23	2021-05-14 13:11:23	48.9040733333333	-123.267566666667	10.22	85.89	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1226	2021-05-14 20:11:33	2021-05-14 13:11:33	48.9040966666667	-123.266858333333	9.64	89.79	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1227	2021-05-14 20:11:43	2021-05-14 13:11:43	48.9040966666667	-123.266145	9.99	91.08	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1228	2021-05-14 20:11:53	2021-05-14 13:11:53	48.9040683333333	-123.265438333333	10.89	93.79	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1229	2021-05-14 20:12:04	2021-05-14 13:12:04	48.9040666666667	-123.264705	10.04	88.31	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1230	2021-05-14 20:12:14	2021-05-14 13:12:14	48.90409	-123.264016666667	10.21	84.19	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1231	2021-05-14 20:12:23	2021-05-14 13:12:23	48.9041483333333	-123.263315	9.98	85.76	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1232	2021-05-14 20:12:33	2021-05-14 13:12:33	48.9041316666667	-123.262621666667	9.7	97.89	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1233	2021-05-14 20:12:39	2021-05-14 13:12:39	48.9041066666667	-123.26226	11.08	95.26	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1234	2021-05-14 20:12:49	2021-05-14 13:12:49	48.904075	-123.26151	10.29	93.97	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1235	2021-05-14 20:12:53	2021-05-14 13:12:53	48.9040566666667	-123.261128333333	11.32	94.86	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1236	2021-05-14 20:13:03	2021-05-14 13:13:03	48.9040283333333	-123.26041	9.93	93.7	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1237	2021-05-14 20:13:13	2021-05-14 13:13:13	48.9040366666667	-123.25965	11.47	85.26	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1238	2021-05-14 20:13:23	2021-05-14 13:13:23	48.90404	-123.258936666667	9.14	94.49	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1239	2021-05-14 20:13:33	2021-05-14 13:13:33	48.9040133333333	-123.258165	10.75	92.61	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1240	2021-05-14 20:13:43	2021-05-14 13:13:43	48.904015	-123.257433333333	10.38	87.57	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1241	2021-05-14 20:13:53	2021-05-14 13:13:53	48.9040016666667	-123.25671	10.06	94.92	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1242	2021-05-14 20:14:03	2021-05-14 13:14:03	48.9040116666667	-123.255981666667	10.36	82.88	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1243	2021-05-14 20:14:13	2021-05-14 13:14:13	48.9040616666667	-123.255295	9.27	86.95	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1244	2021-05-14 20:14:23	2021-05-14 13:14:23	48.9040516666667	-123.254573333333	10.64	94.37	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1245	2021-05-14 20:14:33	2021-05-14 13:14:33	48.9040133333333	-123.253796666667	10.57	94.7	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1246	2021-05-14 20:14:43	2021-05-14 13:14:43	48.9039966666667	-123.253058333333	11.01	89.68	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1247	2021-05-14 20:14:53	2021-05-14 13:14:53	48.9039783333333	-123.252355	9.86	100.47	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1248	2021-05-14 20:15:03	2021-05-14 13:15:03	48.90389	-123.251606666667	9.52	96.33	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1249	2021-05-14 20:15:13	2021-05-14 13:15:13	48.9039333333333	-123.25092	10.1	79.01	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1250	2021-05-14 20:15:23	2021-05-14 13:15:23	48.9040333333333	-123.250221666667	10	79.18	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1251	2021-05-14 20:15:33	2021-05-14 13:15:33	48.90407	-123.249548333333	9.4	91.38	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1252	2021-05-14 20:15:43	2021-05-14 13:15:43	48.9040633333333	-123.248818333333	10.45	89.35	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1253	2021-05-14 20:15:53	2021-05-14 13:15:53	48.904075	-123.248068333333	10.85	86.71	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1254	2021-05-14 20:16:03	2021-05-14 13:16:03	48.904065	-123.247311666667	10.79	90.36	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
"MB"	1255	2021-05-14 20:16:13	2021-05-14 13:16:13	48.9040533333333	-123.246561666667	10.9	90.42	"ON"	"8"	2	"Bo"	"CMcMillan"	"LSpaven"	"Bi"	"EKeppel"	"G&E"	4	"G&E"	"Low <1 m"	"None"	NA	NA	"<25%"	"Clear"
