"SurveyID"	"GPSIndex"	"Sgt.ID"	"key"	"gpstimeutc"	"time_index"	"M.int"	"Event"	"SHIPLAT"	"SHIPLON"	"speed"	"port.visib"	"beauf"	"stbd.visib"	"precip"	"status"	"Final.T.ID"	"onseq_id"	"vessel"	"Platform"	"Side"	"Method"	"SightedBy"	"Horizon_C"	"Bearing.R"	"Bearing.T"	"Reticle"	"Distance"	"Ret_line"	"SD_nm"	"PSD_nm"	"final.lat"	"final.lon"	"Pos.type"	"Waters"	"Data.Qual"	"Species"	"BestNumber"	"MinNumber"	"MaxNumber"
"cemore_2020nov"	13	"S1a"	"cemore_2020nov-13-S1a"	2020-11-23 17:54:41	2020-11-23 09:54:38	-3	"Survey sighting"	49.0446316666667	-123.4841	6.91	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	86	166.2	0.1	NA	"HO"	1.43857022589088	1.4350659411229	49.0213472569741	-123.475378877172	"Corrected"	"CANADA"	"OK"	"Humpback"	1	1	1
"cemore_2020nov"	119	"S2a"	"cemore_2020nov-119-S2a"	2020-11-23 18:11:07	2020-11-23 10:11:08	1	"Survey sighting"	49.04478	-123.431063333333	7.69	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	37	131.48	0.25	NA	"HO"	0.893290810045505	0.537595829529047	49.0349174355956	-123.414049836968	"Corrected"	"CANADA"	"OK"	"Humpback"	1	1	1
"cemore_2020nov"	196	"S4a"	"cemore_2020nov-196-S4a"	2020-11-23 18:23:03	2020-11-23 10:23:04	1	"Survey sighting"	49.0445533333333	-123.391548333333	8.03	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	17	106.96	1	NA	"HO"	0.324719863322258	0.0949388999968625	49.0429743624315	-123.383651034174	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2020nov"	201	"S5a"	"cemore_2020nov-201-S5a"	2020-11-23 18:23:52	2020-11-23 10:23:53	1	"Survey sighting"	49.0445566666667	-123.388721666667	8.11	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-14	77.18	1.5	NA	"HO"	0.229090126724255	0.0554219177202999	49.0454037364058	-123.383041709057	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020nov"	226	"S6a"	"cemore_2020nov-226-S6a"	2020-11-23 18:28:03	2020-11-23 10:28:01	-2	"Survey sighting"	49.0442733333333	-123.374638333333	8.18	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-10	78.7	1	NA	"HO"	0.324719863322258	0.0563870125181647	49.045333510232	-123.366541621588	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020nov"	317	"S7"	"cemore_2020nov-317-S7"	2020-11-23 18:42:37	2020-11-23 10:42:34	-3	"Survey sighting"	49.0440616666667	-123.325025	8.33	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Port"	"Bi"	"EKeppel"	"unobstructed"	0	84.11	1	NA	"HO"	0.324719863322258	0	49.0446167486614	-123.316811935915	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	3	2	3
"cemore_2020nov"	348	"S8"	"cemore_2020nov-348-S8"	2020-11-23 18:47:23	2020-11-23 10:47:21	-2	"Survey sighting"	49.04483	-123.308568333333	8.4	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Starboard"	"NE"	"CMcMillan"	"unobstructed"	-5	84.45	NA	0.0539956803455724	NA	0.0539956803455724	0.00470603362568349	49.0449170280128	-123.307201812871	"Corrected"	"CANADA"	"ED"	"Harbour Porpoise"	1	1	1
"cemore_2020nov"	358	"S9a"	"cemore_2020nov-358-S9a"	2020-11-23 18:48:53	2020-11-23 10:48:54	1	"Survey sighting"	49.0446666666667	-123.303326666667	8.44	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Port"	"NE"	"EKeppel"	"unobstructed"	-24	62.82	NA	0.107991360691145	NA	0.107991360691145	0.0439240435287042	49.045488792693	-123.300883940372	"Corrected"	"CANADA"	"ED"	"Harbour Porpoise"	1	1	1
"cemore_2020nov"	379	"S10a"	"cemore_2020nov-379-S10a"	2020-11-23 18:52:17	2020-11-23 10:52:17	0	"Survey sighting"	49.0443466666667	-123.291396666667	8.35	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	3	"RB"	"RBFly_sit"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	50	142.66	1	NA	"HO"	0.324719863322258	0.248749846868369	49.0400437482859	-123.286389107091	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020nov"	528	"S11a"	"cemore_2020nov-528-S11a"	2020-11-23 19:15:04	2020-11-23 11:15:08	4	"Survey sighting"	49.0407516666667	-123.279153333333	7.63	"G&E"	2	"G&E"	"Clear"	"ON"	"2"	5	"RB"	"RBFly_stand"	"Starboard"	"Bi"	"EKeppel"	"unobstructed"	14	216.07	0	NA	"HO"	4.01376804809692	0.971018374692986	48.9866640622351	-123.339172487601	"Corrected"	"CANADA"	"OK"	"Humpback"	1	1	1
