"SurveyID"	"GPSIndex"	"Sgt.ID"	"key"	"gpstimeutc"	"time_index"	"M.int"	"Event"	"SHIPLAT"	"SHIPLON"	"speed"	"port.visib"	"beauf"	"stbd.visib"	"precip"	"status"	"Final.T.ID"	"onseq_id"	"vessel"	"Platform"	"Side"	"Method"	"SightedBy"	"Horizon_C"	"Bearing.R"	"Bearing.T"	"Reticle"	"Distance"	"Ret_line"	"SD_nm"	"PSD_nm"	"final.lat"	"final.lon"	"Pos.type"	"Waters"	"Data.Qual"	"Species"	"BestNumber"	"MinNumber"	"MaxNumber"
"cemore_2020oct"	1041	"S1a"	"cemore_2020oct-1041-S1a"	2020-10-14 19:07:11	2020-10-14 12:07:11	0	"Survey sighting"	48.72141	-123.291995	10.49	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-4	131.88	0.5	NA	"HO"	0.273903315883427	0.0191065294628512	48.7183623789399	-123.286843304126	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020oct"	1044	"S2a"	"cemore_2020oct-1044-S2a"	2020-10-14 19:07:41	2020-10-14 12:07:38	-3	"Survey sighting"	48.7203916666667	-123.290511666667	10.36	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-9	128.63	1	NA	"HO"	0.15272573856325	0.0238915692100161	48.7188025447476	-123.287497710263	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020oct"	1053	"S3a"	"cemore_2020oct-1053-S3a"	2020-10-14 19:09:01	2020-10-14 12:08:58	-3	"Survey sighting"	48.7175983333333	-123.286588333333	10.39	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-54	85.33	0.5	NA	"HO"	0.273903315883427	0.221592437365342	48.7179697990929	-123.279692100603	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020oct"	1238	"S4a"	"cemore_2020oct-1238-S4a"	2020-10-14 19:37:33	2020-10-14 12:37:35	2	"Survey sighting"	48.6262966666667	-123.255646666667	10.9	"G&E"	2	"G&E"	"Clear"	"ON"	"2"	4	"MB"	"Bo"	"Port"	"Bi"	"LSpaven"	"unobstructed"	-22	207.19	0.5	NA	"HO"	0.273903315883427	0.102605988088413	48.622236024495	-123.258802344862	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2020oct"	3194	"S3b"	"cemore_2020oct-3194-S3b"	2020-10-15 16:01:25	2020-10-15 09:01:30	5	"Survey sighting"	48.31599	-123.318513333333	10.74	"G&E"	1	"G&E"	"Clear"	"ON"	"3"	6	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	62	352.44	1.5	NA	"HO"	0.106023555505053	0.0936132431195318	48.3177416972198	-123.318862930813	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2020oct"	3209	"S4b"	"cemore_2020oct-3209-S4b"	2020-10-15 16:03:55	2020-10-15 09:03:55	0	"Survey sighting"	48.3161533333333	-123.329301666667	10.08	"G&E"	1	"G&E"	"Clear"	"ON"	"3"	6	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	0	271.01	2	NA	"HO"	0.0812195774714538	0	48.3161771761029	-123.331336869054	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2020oct"	3290	"S5a"	"cemore_2020oct-3290-S5a"	2020-10-15 16:16:55	2020-10-15 09:16:56	1	"Survey sighting"	48.3169166666667	-123.385348333333	11.16	"G&E"	2	"G&E"	"Clear"	"ON"	"3"	6	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-30	217.75	1	NA	"HO"	0.15272573856325	0.0763628692816248	48.3149039986003	-123.387691597965	"Corrected"	"CANADA"	"OK"	"Humpback"	2	2	2
"cemore_2020oct"	3294	"S6a"	"cemore_2020oct-3294-S6a"	2020-10-15 16:17:30	2020-10-15 09:17:30	0	"Survey sighting"	48.3169516666667	-123.387428333333	10.02	"G&E"	2	"G&E"	"Clear"	"ON"	"3"	6	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	54	322.63	0.5	NA	"HO"	0.273903315883427	0.221592437365342	48.3205795891563	-123.391595194724	"Corrected"	"CANADA"	"OK"	"Humpback"	1	1	1
"cemore_2020oct"	3307	"S7a"	"cemore_2020oct-3307-S7a"	2020-10-15 16:19:35	2020-10-15 09:19:39	4	"Survey sighting"	48.3171183333333	-123.396121666667	7.97	"G&E"	2	"G&E"	"Clear"	"ON"	"3"	6	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	67	344.95	3	NA	"HO"	0.0553436116858588	0.0509440631644202	48.3180090871682	-123.396481835094	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	3	3	3
"cemore_2020oct"	3331	"S8a"	"cemore_2020oct-3331-S8a"	2020-10-15 16:23:35	2020-10-15 09:23:37	2	"Survey sighting"	48.31747	-123.412131666667	8.54	"G&E"	2	"G&E"	"Clear"	"ON"	"3"	6	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	1	268.08	0	NA	"HO"	2.43706633920988	0.0425326722665135	48.3160929897697	-123.473174846483	"Corrected"	"CANADA"	"OK"	"Humpback"	1	1	1
