"SurveyID"	"GPSIndex"	"Sgt.ID"	"key"	"gpstimeutc"	"time_index"	"M.int"	"Event"	"SHIPLAT"	"SHIPLON"	"speed"	"port.visib"	"beauf"	"stbd.visib"	"precip"	"status"	"Final.T.ID"	"onseq_id"	"vessel"	"Platform"	"Side"	"Method"	"SightedBy"	"Horizon_C"	"Bearing.R"	"Bearing.T"	"Reticle"	"Distance"	"Ret_line"	"SD_nm"	"PSD_nm"	"final.lat"	"final.lon"	"Pos.type"	"Waters"	"Data.Qual"	"Species"	"BestNumber"	"MinNumber"	"MaxNumber"
"cemore_2020sept"	801	"S2a"	"cemore_2020sept-801-S2a"	2020-08-28 18:21:56	2020-08-28 11:21:55	-1	"Survey sighting"	49.309865	-123.173455	11.49	"G&E"	1	"G&E"	"Clear"	"ON"	"1"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-52	77.3	1	NA	"HO"	0.15272573856325	0.12034952434037	49.3104245402648	-123.169646250753	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020sept"	1053	"S3a"	"cemore_2020sept-1053-S3a"	2020-08-28 19:00:26	2020-08-28 12:00:31	5	"Survey sighting"	49.2524266666667	-123.297081666667	10.64	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	4	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-30	238.41	2	NA	"HO"	0.0812195774714538	0.0406097887357269	49.251717555749	-123.298848185288	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	1	2
"cemore_2020sept"	1082	"S4a"	"cemore_2020sept-1082-S4a"	2020-08-28 19:04:56	2020-08-28 12:04:52	-4	"Survey sighting"	49.252425	-123.316861666667	10.4	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	4	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	33	304.01	1	NA	"HO"	0.15272573856325	0.0831803988730456	49.253848708878	-123.32009436032	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	3
"cemore_2020sept"	1567	"S5a"	"cemore_2020sept-1567-S5a"	2020-08-28 20:19:37	2020-08-28 13:19:40	3	"Survey sighting"	49.2058783333333	-123.351851666667	9.76	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	6	"MB"	"Bo"	"Port"	"NE"	"LSpaven"	"unobstructed"	8	131.05	NA	0.0539956803455724	NA	0.0539956803455724	0.00751474627214177	49.2052873302072	-123.35081291557	"Corrected"	"CANADA"	"ED"	"Harbour Porpoise"	1	1	1
"cemore_2020sept"	1947	"S9a"	"cemore_2020sept-1947-S9a"	2020-08-28 21:17:49	2020-08-28 14:17:53	4	"Survey sighting"	49.0988966666667	-123.33431	10.27	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	8	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	22	288.71	4	NA	"HO"	0.0419762228796982	0.0157245698574308	49.0991210800925	-123.335322035484	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020sept"	1957	"S10a"	"cemore_2020sept-1957-S10a"	2020-08-28 21:19:28	2020-08-28 14:19:30	2	"Survey sighting"	49.0989916666667	-123.34151	10.35	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	8	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-10	259.74	1	NA	"HO"	0.15272573856325	0.0265205461843443	49.09853822365	-123.345335411207	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2020sept"	1977	"S11a"	"cemore_2020sept-1977-S11a"	2020-08-28 21:22:28	2020-08-28 14:22:33	5	"Survey sighting"	49.0992383333333	-123.354653333333	10.48	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	8	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	9	279.62	2	NA	"HO"	0.0812195774714538	0.0127055411525405	49.0994645292481	-123.356691712057	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2020sept"	1989	"S12a"	"cemore_2020sept-1989-S12a"	2020-08-28 21:24:18	2020-08-28 14:24:20	2	"Survey sighting"	49.0993383333333	-123.36266	10.25	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	8	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-9	257.66	0	NA	"HO"	2.43706633920988	0.381241169041852	49.0906419523782	-123.423251745272	"Corrected"	"CANADA"	"OK"	"Humpback"	1	1	1
"cemore_2020sept"	1998	"S13a"	"cemore_2020sept-1998-S13a"	2020-08-28 21:25:48	2020-08-28 14:25:52	4	"Survey sighting"	49.0995416666667	-123.36911	10.44	"G&E"	3	"G&E"	"Clear"	"ON"	"1"	8	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-29	244.11	1	NA	"HO"	0.15272573856325	0.0740429073146904	49.0984301654229	-123.372607387027	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2020sept"	3458	"S2b"	"cemore_2020sept-3458-S2b"	2020-09-02 21:18:30	2020-09-02 14:18:28	-2	"Survey sighting"	49.0291	-123.469203333333	10.08	"G&E"	2	"G&E"	"Clear"	"ON"	"1"	14	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-24	63.97	0.75	NA	"HO"	0.195992945155979	0.0797175125792825	49.0305334113469	-123.464726593453	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
