"SurveyID"	"GPSIndex"	"Sgt.ID"	"key"	"gpstimeutc"	"time_index"	"M.int"	"Event"	"SHIPLAT"	"SHIPLON"	"speed"	"port.visib"	"beauf"	"stbd.visib"	"precip"	"status"	"Final.T.ID"	"onseq_id"	"vessel"	"Platform"	"Side"	"Method"	"SightedBy"	"Horizon_C"	"Bearing.R"	"Bearing.T"	"Reticle"	"Distance"	"Ret_line"	"SD_nm"	"PSD_nm"	"final.lat"	"final.lon"	"Pos.type"	"Waters"	"Data.Qual"	"Species"	"BestNumber"	"MinNumber"	"MaxNumber"
"cemore_2021jun"	876	"S3a"	"cemore_2021jun-876-S3a"	2021-06-04 19:44:43	2021-06-04 12:44:44	1	"Survey sighting"	49.1329733333333	-123.32994	9.72	"G&E"	2	"G&E"	"Clear"	"ON"	"4"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-29	240.27	0.75	NA	"HO"	0.195992945155979	0.0950192653120315	49.131353326669	-123.334275109588	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2021jun"	985	"S4a"	"cemore_2021jun-985-S4a"	2021-06-04 20:01:24	2021-06-04 13:01:20	-4	"Survey sighting"	49.1334083333333	-123.398728333333	9.82	"G&E"	2	"G&E"	"Clear"	"ON"	"4"	2	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	0	271.95	10	NA	"HO"	0.0171465349913418	0	49.1334180568842	-123.399164845878	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021jun"	1008	"S5a"	"cemore_2021jun-1008-S5a"	2021-06-04 20:05:04	2021-06-04 13:05:09	5	"Survey sighting"	49.1333583333333	-123.41362	9.7	"G&E"	2	"G&E"	"Clear"	"ON"	"4"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-12	256.57	1	NA	"HO"	0.15272573856325	0.0317534665360763	49.1327670771895	-123.41740387707	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021jun"	1085	"S6a"	"cemore_2021jun-1085-S6a"	2021-06-04 20:16:44	2021-06-04 13:16:47	3	"Survey sighting"	49.13244	-123.461186666667	10.32	"G&E"	2	"G&E"	"Clear"	"ON"	"4"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-6	282.69	1.5	NA	"HO"	0.106023555505053	0.011082479327116	49.1328281504618	-123.463821352612	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	4	4	5
"cemore_2021jun"	1206	"S7a"	"cemore_2021jun-1206-S7a"	2021-06-04 20:35:27	2021-06-04 13:35:32	5	"Survey sighting"	49.1133833333333	-123.467628333333	10.51	"G&E"	1	"G&E"	"Clear"	"ON"	"5"	4	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	23	147.64	0.5	NA	"HO"	0.273903315883427	0.107022551712086	49.1095271627908	-123.463895777554	"Corrected"	"CANADA"	"OK"	"Dalls Porpoise"	3	3	3
"cemore_2021jun"	1285	"S8a"	"cemore_2021jun-1285-S8a"	2021-06-04 20:47:47	2021-06-04 13:47:43	-4	"Survey sighting"	49.0930066666667	-123.425256666667	9.71	"G&E"	1	"G&E"	"Clear"	"ON"	"5"	4	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	66	194.76	0.75	NA	"HO"	0.195992945155979	0.17904846477724	49.0898479018924	-123.426527476245	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021jun"	1475	"S9a"	"cemore_2021jun-1475-S9a"	2021-06-04 21:18:08	2021-06-04 14:18:08	0	"Survey sighting"	49.04363	-123.440466666667	10.02	"G&E"	3	"G&E"	"Clear"	"ON"	"6"	6	"MB"	"Bo"	"Starboard"	"Bi"	"EKeppel"	"unobstructed"	10	214.87	75	NA	"HO"	0.00236798572725336	0.000411196406278847	49.0435976142923	-123.44050108945	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021jun"	1489	"S10a"	"cemore_2021jun-1489-S10a"	2021-06-04 21:20:09	2021-06-04 14:20:13	4	"Survey sighting"	49.0383216666667	-123.443013333333	10.02	"G&E"	3	"G&E"	"Clear"	"ON"	"6"	6	"MB"	"Bo"	"Starboard"	"Bi"	"EKeppel"	"unobstructed"	21	223.97	1.5	NA	"HO"	0.106023555505053	0.0379954441898483	49.0370498929167	-123.444884735569	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021jun"	1634	"S11a"	"cemore_2021jun-1634-S11a"	2021-06-04 21:42:40	2021-06-04 14:42:42	2	"Survey sighting"	49.0147466666667	-123.414468333333	10.51	"G&E"	3	"G&E"	"Clear"	"ON"	"7"	8	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	15	112.33	1	NA	"HO"	0.15272573856325	0.0395283298175175	49.0137794993593	-123.410878410586	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021jun"	1967	"S12a"	"cemore_2021jun-1967-S12a"	2021-06-04 22:34:22	2021-06-04 15:34:25	3	"Survey sighting"	49.0141066666667	-123.194723333333	9.93	"G&E"	2	"G&E"	"Clear"	"ON"	"7"	10	"MB"	"Bo"	"Port"	"NE"	"CMcMillan"	"unobstructed"	20	113.35	NA	0.00269978401727862	NA	0.00269978401727862	0.000923380516537983	49.0140888325117	-123.194660346739	"Corrected"	"CANADA"	"ED"	"Harbour Porpoise"	1	1	1
