V1,V2,V3
-125.518072289,49.5,1513
-125.501110587447,49.5,1504
-125.484148885894,49.5,1240
-125.467187184341,49.5,1137
-125.450225482788,49.5,1091
-125.433263781235,49.5,950
-125.416302079682,49.5,733
-125.399340378128,49.5,549
-125.382378676575,49.5,674
-125.365416975022,49.5,735
-125.348455273469,49.5,1094
-125.331493571916,49.5,985
-125.314531870363,49.5,857
-125.29757016881,49.5,987
-125.280608467257,49.5,829
-125.263646765704,49.5,729
-125.246685064151,49.5,620
-125.229723362598,49.5,711
-125.212761661045,49.5,737
-125.195799959492,49.5,641
-125.178838257939,49.5,605
-125.161876556385,49.5,558
-125.144914854832,49.5,534
-125.127953153279,49.5,451
-125.110991451726,49.5,442
-125.094029750173,49.5,539
-125.07706804862,49.5,809
-125.060106347067,49.5,1136
-125.043144645514,49.5,886
-125.026182943961,49.5,1246
-125.009221242408,49.5,1125
-124.992259540855,49.5,1025
-124.975297839302,49.5,978
-124.958336137749,49.5,898
-124.941374436196,49.5,660
-124.924412734642,49.5,615
-124.907451033089,49.5,462
-124.890489331536,49.5,314
-124.873527629983,49.5,228
-124.85656592843,49.5,196
-124.839604226877,49.5,112
-124.822642525324,49.5,49
-124.805680823771,49.5,14
-124.788719122218,49.5,-1
-124.771757420665,49.5,-1
-124.754795719112,49.5,0
-124.737834017559,49.5,4
-124.720872316006,49.5,9
-124.703910614453,49.5,46
-124.686948912899,49.5,1
-124.669987211346,49.5,-2
-124.653025509793,49.5,-12
-124.63606380824,49.5,-14
-124.619102106687,49.5,-39
-124.602140405134,49.5,-86
-124.585178703581,49.5,-169
-124.568217002028,49.5,-192
-124.551255300475,49.5,-230
-124.534293598922,49.5,-244
-124.517331897369,49.5,-256
-124.500370195816,49.5,-244
-124.483408494263,49.5,-234
-124.46644679271,49.5,-242
-124.449485091156,49.5,-256
-124.432523389603,49.5,-278
-124.41556168805,49.5,-264
-124.398599986497,49.5,-143
-124.381638284944,49.5,-48
-124.364676583391,49.5,1
-124.347714881838,49.5,8
-124.330753180285,49.5,105
-124.313791478732,49.5,79
-124.296829777179,49.5,152
-124.279868075626,49.5,176
-124.262906374073,49.5,117
-124.24594467252,49.5,85
-124.228982970966,49.5,144
-124.212021269413,49.5,57
-124.19505956786,49.5,40
-124.178097866307,49.5,3
-124.161136164754,49.5,-9
-124.144174463201,49.5,-73
-124.127212761648,49.5,-30
-124.110251060095,49.5,-233
-124.093289358542,49.5,-236
-124.076327656989,49.5,-235
-124.059365955436,49.5,-223
-124.042404253883,49.5,-212
-124.02544255233,49.5,-196
-124.008480850777,49.5,-177
-123.991519149223,49.5,-8
-123.97455744767,49.5,49
-123.957595746117,49.5,-18
-123.940634044564,49.5,-57
-123.923672343011,49.5,-112
-123.906710641458,49.5,61
-123.889748939905,49.5,91
-123.872787238352,49.5,105
-123.855825536799,49.5,105
-123.838863835246,49.5,208
